product_name,application_type,profiles,version,approval_date
*-251IP5*,device,S,3.4.2.1,7/27/2016
*-280IP5*,device,"S, G",4.1,12/26/2017
*-310IP*,device,S,3.4.2 beta3,3/13/2015
*-330IP5*,device,S,3.4.3,7/27/2016
*-330IPS*,device,S,4.1,12/26/2017
*-331IP5*,device,S,3.4.2.1,7/27/2016
*-340IP5*,device,S,3.4.3,7/27/2016
*-340IP5S*,device,S,4.1,12/26/2017
*-380IP*,device,S,3.4.0 beta6,6/10/2014
*-390IP*,device,S,3.4.0 beta6,6/10/2014
*-390IPA*,device,S,3.4.2.1,7/27/2016
*-390IPS*,device,S,4.1,12/26/2017
*-480IP*,device,S,3.4.1,3/13/2015
Z-*IP-*(IR),device,S,V5.2.0 build 150317,4/1/2015
H*D2PR1,device,S,"1.000.Honeywell 00.0.R, build: 2014-03-26",3/26/2014
H*D2PR1*,device,S,"2.000.Honeywell 00.0.R, build: 2014-12-11",1/5/2015
H*D2PRV2,device,S,"1.000.Honeywell 00.0.R, build: 2015-03-03",4/8/2015
H3D2F*,device,S,42.1.1,4/2/2016
H3W1F*,device,S,42.1.1,6/12/2016
H4D2F*,device,S,42.1.1,6/12/2016
H4W1F*,device,S,42.1.1,6/12/2016
HCD2F*,device,S,42.1.1,6/12/2016
HCD51F*,device,S,42.1.1,5/24/2016
HCW1F*,device,S,42.1.1,6/12/2016
HD31F*,device,S,42.1.1,5/24/2016
HD32F*,device,S,42.1.1,5/24/2016
HD41F*,device,S,42.1.1,5/24/2016
HDZ20HD*,device,S,HS20140707NSA,8/8/2014
HDZ22HD*,device,S,HS20150114NSA,4/8/2015
HDZ30*,device,S,HS20140707NSA,8/8/2014
HDZ30HD*,device,S,HS20150114NSA,4/8/2015
HDZ36E*,device,S,HS20140707NSA,8/8/2014
HI*C-2500MI,device,S,"1.000.Honeywell 00.0.R, build: 2014-12-11",1/19/2015
HI*C-F100*,device,S,1.0.0705,7/16/2015
HI*C-F200*,device,S,1.0.0705,7/16/2015
HUS-NVR-*032,client,S,,11/10/2015
HUS-NVR-7***,client,S,,11/6/2015
HVE*,device,S,"V1.1.0, build 131219",3/7/2014
***54/03***(II),device,S,v2.0.0801.1002.1.1.33.1.25,10/21/2015
***54/04***,device,S,v2.0.0801.1002.1.1.33.1.25,10/21/2015
***54/14***(III),device,S,v2.0.0801.1002.1.1.33.1.25,10/20/2015
***55/20***,device,S,v2.0.1001.1002.3.0.62.0.0,1/14/2016
***56/20***,device,S,v2.0.0701.1002.3.0.33.1.2,12/28/2015
***56/40***,device,S,v2.0.0701.1002.3.0.33.1.2,12/28/2015
***56/41***,device,S,v2.0.0702.1002.1.1.61.0.1,12/31/2015
IPS56/20BD*/ZSC22/**,device,S,v2.0.0701.1002.3.0.33.1.2,12/30/2015
DN*14UX2,device,S,v1.8.0601.1002.79.0.65.10.27,5/27/2015
